well,cellCol,cellRow,concentration,agonist,unit,control,inhibitor,antibody,fluorophore,measure
B03,4,12,0.000001,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
C03,4,18,0.0000003,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
D03,4,24,0.0000001,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
E03,4,30,0.00000003,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
F03,4,36,0.00000001,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
G03,4,42,0.000000003,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
A04,4,7,0.0003,epinephrine,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
B04,4,13,0.0001,epinephrine,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
C04,4,19,0.00003,epinephrine,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
D04,4,25,0.00001,epinephrine,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
E04,4,31,0.000003,epinephrine,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
F04,4,37,0.000001,epinephrine,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
A05,4,8,0.000015,TRAP-6,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
B05,4,14,0.000005,TRAP-6,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
C05,4,20,0.0000015,TRAP-6,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
D05,4,26,0.0000005,TRAP-6,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
E05,4,32,0.00000015,TRAP-6,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
F05,4,38,0.00000005,TRAP-6,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
A06,4,9,0.0001,U46619,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
B06,4,15,0.00003,U46619,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
C06,4,21,0.00001,U46619,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
D06,4,27,0.000003,U46619,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
E06,4,33,0.000001,U46619,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
F06,4,39,0.0000003,U46619,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
A01,5,4,1.00E-013,vehicle,M,,EDTA,P-selectin,PE-Cy5,ppositive
B01,5,10,1.00E-013,vehicle,M,,EDTA,P-selectin,PE-Cy5,ppositive
C01,5,16,1.00E-013,vehicle,M,RestVehPselPP,vehicle,isotype,PE-Cy5,ppositive
D01,5,22,1.00E-013,vehicle,M,RestVehPselPP,vehicle,isotype,PE-Cy5,ppositive
E01,5,28,1.00E-013,vehicle,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
F01,5,34,1.00E-013,vehicle,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
G01,5,40,1.00E-013,vehicle,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
H01,5,43,1.00E-013,vehicle,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
A02,5,5,0.00003,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
B02,5,11,0.00001,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
C02,5,17,0.000003,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
D02,5,23,0.000001,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
E02,5,29,0.0000003,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
F02,5,35,0.0000001,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
G02,5,41,0.00000003,ADP,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
A03,5,6,0.000003,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
B03,5,12,0.000001,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
C03,5,18,0.0000003,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
D03,5,24,0.0000001,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
E03,5,30,0.00000003,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
F03,5,36,0.00000001,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
G03,5,42,0.000000003,CRP,g/ml,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
A04,5,7,0.0003,epinephrine,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
B04,5,13,0.0001,epinephrine,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
C04,5,19,0.00003,epinephrine,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
D04,5,25,0.00001,epinephrine,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
E04,5,31,0.000003,epinephrine,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
F04,5,37,0.000001,epinephrine,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
A05,5,8,0.000015,TRAP-6,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
B05,5,14,0.000005,TRAP-6,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
C05,5,20,0.0000015,TRAP-6,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
D05,5,26,0.0000005,TRAP-6,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
E05,5,32,0.00000015,TRAP-6,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
F05,5,38,0.00000005,TRAP-6,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
A06,5,9,0.0001,U46619,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
B06,5,15,0.00003,U46619,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
C06,5,21,0.00001,U46619,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
D06,5,27,0.000003,U46619,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
E06,5,33,0.000001,U46619,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
F06,5,39,0.0000003,U46619,M,RestVehPselPP,vehicle,P-selectin,PE-Cy5,ppositive
G01,6,40,1.00E-013,vehicle,M,,vehicle,fibrinogen,FITC,MedianFI
H01,6,43,1.00E-013,vehicle,M,,vehicle,fibrinogen,FITC,MedianFI
